Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
353.0;72.0;79.0;4.0;17.0;17.0;4.0;2.8;36.0;25.0;3.4;.7;1.0;.0;1.0;.0;0;00020142061
337.0;65.0;61.0;4.0;16.0;16.0;4.0;2.1;32.0;21.0;3.0;.7;.0;1.0;1.0;.0;0;00020142138
360.0;69.0;74.0;3.6;16.0;16.0;3.6;3.4;34.0;31.0;3.5;.9;1.0;.0;1.0;.0;0;00020142145
314.0;63.0;66.0;3.8;17.0;17.0;3.8;3.4;36.0;30.0;3.6;.8;.0;1.0;1.0;.0;1;00020142180
323.0;57.0;72.0;3.8;17.0;14.0;3.8;3.6;37.0;32.0;3.7;.9;1.0;.0;1.0;.0;1;00020142205
335.0;61.0;75.0;3.6;19.0;19.0;3.6;3.5;38.0;38.0;3.6;1.0;1.0;.0;1.0;.0;1;00020142264
358.0;75.0;79.0;3.0;19.0;11.0;3.0;3.2;36.0;20.0;3.1;.6;1.0;.0;1.0;.0;0;00020142387
310.0;63.0;63.0;4.3;18.0;18.0;4.3;3.8;33.0;31.0;4.1;.9;1.0;.0;1.0;.0;1;00020142516
310.0;65.0;56.0;2.8;16.0;6.0;2.8;3.4;35.0;22.0;3.1;.6;1.0;.0;1.0;.0;0;00020142561
321.0;54.0;67.0;3.1;17.0;12.0;3.1;2.7;34.0;23.0;2.9;.7;1.0;.0;1.0;.0;0;00020142574
318.0;72.0;74.0;3.9;17.0;17.0;3.9;3.8;35.0;35.0;3.9;1.0;1.0;.0;1.0;.0;1;00020142605
366.0;67.0;83.0;4.0;19.0;19.0;4.0;3.2;35.0;35.0;3.7;1.0;1.0;.0;1.0;.0;1;00020142760
317.0;65.0;56.0;2.7;15.0;11.0;2.7;1.2;35.0;11.0;1.8;.3;1.0;.0;1.0;.0;0;00020142774
328.0;63.0;64.0;4.2;17.0;17.0;4.2;3.2;36.0;33.0;3.7;.9;.0;1.0;1.0;.0;1;00020142810
333.0;52.0;81.0;4.2;17.0;17.0;4.2;3.8;34.0;34.0;4.0;1.0;.0;1.0;1.0;.0;1;00020142982
345.0;61.0;72.0;3.7;19.0;19.0;3.7;3.3;35.0;32.0;3.5;.9;1.0;.0;1.0;.0;1;00020143212
339.0;72.0;72.0;3.3;16.0;13.0;3.3;1.9;34.0;15.0;2.6;.4;1.0;.0;1.0;.0;0;00020143320
332.0;67.0;79.0;3.3;16.0;11.0;3.3;3.5;35.0;27.0;3.4;.8;1.0;.0;1.0;.0;1;00020143480
318.0;62.0;72.0;3.8;19.0;19.0;3.8;3.6;38.0;33.0;3.7;.9;1.0;.0;1.0;.0;1;00020143493
310.0;65.0;59.0;3.3;18.0;14.0;3.3;3.7;37.0;33.0;3.5;.9;.0;1.0;1.0;.0;1;00020143796
318.0;63.0;60.0;4.1;18.0;18.0;4.1;3.2;31.0;26.0;3.7;.8;.0;1.0;1.0;.0;1;00020143917
372.0;69.0;72.0;3.3;17.0;15.0;3.3;3.6;32.0;27.0;3.4;.8;1.0;.0;1.0;.0;1;00020143944
338.0;61.0;81.0;3.6;19.0;19.0;3.6;2.1;36.0;19.0;2.9;.5;.0;1.0;1.0;.0;0;00020144242
321.0;65.0;62.0;3.7;19.0;19.0;3.7;2.6;37.0;29.0;3.2;.8;.0;1.0;1.0;.0;1;00020144289
337.0;67.0;67.0;3.9;19.0;19.0;3.9;3.7;37.0;37.0;3.8;1.0;.0;1.0;1.0;.0;1;00020144318
342.0;67.0;67.0;3.7;19.0;17.0;3.7;3.3;38.0;33.0;3.5;.9;1.0;.0;1.0;.0;1;00020144429
382.0;72.0;83.0;3.6;19.0;16.0;3.6;3.4;39.0;30.0;3.5;.8;1.0;.0;1.0;.0;1;00020144518
315.0;67.0;61.0;3.4;16.0;11.0;3.4;2.8;33.0;22.0;3.1;.7;1.0;.0;1.0;.0;0;00020144722
320.0;61.0;59.0;.0;.0;.0;.0;2.7;16.0;8.0;2.7;.5;1.0;.0;1.0;.0;0;00020067219
336.0;62.0;71.0;.0;.0;.0;.0;3.4;17.0;14.0;3.4;.8;1.0;.0;1.0;.0;1;00020120172
302.0;60.0;62.0;3.9;19.0;19.0;3.9;4.1;19.0;19.0;4.1;1.0;1.0;.0;1.0;.0;0;00020129900
348.0;67.0;75.0;.0;.0;.0;.0;3.6;19.0;17.0;3.6;.9;1.0;.0;.0;1.0;1;00020132708
330.0;63.0;70.0;.0;.0;.0;.0;3.6;18.0;18.0;3.6;1.0;1.0;.0;1.0;.0;1;00020136495
307.0;52.0;62.0;.0;.0;.0;.0;3.2;17.0;17.0;3.2;1.0;1.0;.0;1.0;.0;0;00020136815
322.0;61.0;61.0;.0;.0;.0;.0;3.2;18.0;16.0;3.2;.9;.0;1.0;1.0;.0;1;00020136893
334.0;60.0;67.0;.0;.0;.0;.0;2.5;13.0;4.0;2.5;.3;1.0;.0;1.0;.0;0;00020137188
332.0;56.0;79.0;.0;.0;.0;.0;3.3;17.0;14.0;3.3;.8;1.0;.0;.0;1.0;1;00020137927
329.0;60.0;70.0;.0;.0;.0;.0;3.8;17.0;17.0;3.8;1.0;1.0;.0;1.0;.0;1;00020142112
313.0;58.0;67.0;.0;.0;.0;.0;3.4;15.0;13.0;3.4;.9;1.0;.0;1.0;.0;1;00020142809
314.0;61.0;52.0;.0;.0;.0;.0;3.4;18.0;16.0;3.4;.9;.0;1.0;1.0;.0;1;00020142960
376.0;75.0;77.0;.0;.0;.0;.0;4.5;18.0;18.0;4.5;1.0;.0;1.0;1.0;.0;1;00020143060
321.0;56.0;62.0;.0;.0;.0;.0;3.7;18.0;18.0;3.7;1.0;1.0;.0;1.0;.0;1;00020143528
333.0;58.0;70.0;.0;.0;.0;.0;3.4;16.0;13.0;3.4;.8;.0;1.0;1.0;.0;1;00020143597
349.0;65.0;70.0;.0;.0;.0;.0;3.8;18.0;16.0;3.8;.9;1.0;.0;1.0;.0;1;00020145389
304.0;55.0;59.0;.0;.0;.0;.0;3.7;16.0;16.0;3.7;1.0;.0;1.0;1.0;.0;1;00020147350
307.0;64.0;55.0;.0;.0;.0;.0;3.4;18.0;16.0;3.4;.9;.0;1.0;1.0;.0;1;00020151078
338.0;64.0;72.0;.0;.0;.0;.0;4.1;17.0;17.0;4.1;1.0;.0;1.0;1.0;.0;1;00020151205
334.0;59.0;65.0;.0;.0;.0;.0;3.4;18.0;16.0;3.4;.9;.0;1.0;1.0;.0;1;00020151383
320.0;60.0;63.0;.0;.0;.0;.0;3.9;18.0;18.0;3.9;1.0;1.0;.0;1.0;.0;1;00020152334
420.0;77.0;89.0;.0;.0;.0;.0;4.0;17.0;17.0;4.0;1.0;1.0;.0;1.0;.0;1;00020152445
412.0;69.0;79.0;.0;.0;.0;.0;4.2;19.0;19.0;4.2;1.0;1.0;.0;1.0;.0;1;00020152822
306.0;60.0;67.0;.0;.0;.0;.0;2.7;15.0;10.0;2.7;.7;1.0;.0;1.0;.0;0;00020153503
324.0;63.0;66.0;.0;.0;.0;.0;3.7;18.0;18.0;3.7;1.0;1.0;.0;1.0;.0;1;00020153530
397.0;77.0;81.0;.0;.0;.0;.0;4.0;17.0;17.0;4.0;1.0;1.0;.0;1.0;.0;1;00020153536
392.0;68.0;86.0;.0;.0;.0;.0;4.4;17.0;17.0;4.4;1.0;1.0;.0;1.0;.0;1;00020153745
