Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
341.0;60.0;75.0;4.0;15.0;15.0;4.0;3.5;33.0;30.0;3.7;.9;1.0;.0;1.0;.0;1;00020143644
362.0;58.0;77.0;3.9;15.0;15.0;3.9;3.7;31.0;31.0;3.8;1.0;1.0;.0;1.0;.0;1;00020143665
330.0;67.0;62.0;3.8;19.0;19.0;3.8;3.8;38.0;38.0;3.8;1.0;.0;1.0;1.0;.0;1;00020143738
67.0;67.0;64.0;3.0;18.0;12.0;3.0;3.4;31.0;23.0;3.1;.7;.0;1.0;1.0;.0;0;00020143849
316.0;62.0;78.0;3.8;15.0;15.0;3.8;3.9;34.0;34.0;3.9;1.0;1.0;.0;1.0;.0;1;00020143945
347.0;75.0;70.0;3.7;18.0;15.0;3.7;3.8;16.0;16.0;3.8;1.0;1.0;.0;1.0;.0;0;00020143980
320.0;67.0;65.0;2.9;19.0;12.0;2.9;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020144030
325.0;51.0;70.0;3.5;18.0;15.0;3.5;3.8;35.0;32.0;3.6;.9;1.0;.0;1.0;.0;1;00020144115
314.0;65.0;67.0;3.6;15.0;13.0;3.6;2.6;34.0;20.0;3.0;.6;1.0;.0;1.0;.0;0;00020144281
342.0;72.0;64.0;2.8;15.0;5.0;2.8;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020144284
318.0;61.0;58.0;3.8;16.0;13.0;3.8;3.4;33.0;30.0;3.6;.9;1.0;.0;1.0;.0;0;00020144302
352.0;63.0;70.0;3.7;18.0;15.0;3.7;3.6;37.0;34.0;3.7;.9;1.0;.0;1.0;.0;1;00020144447
324.0;67.0;69.0;3.5;18.0;15.0;3.5;3.5;36.0;33.0;3.5;.9;.0;1.0;1.0;.0;1;00020144453
312.0;65.0;64.0;3.3;16.0;13.0;3.3;3.2;34.0;25.0;3.2;.7;1.0;.0;1.0;.0;0;00020144536
333.0;65.0;67.0;3.8;18.0;18.0;3.8;3.8;38.0;35.0;3.8;.9;1.0;.0;1.0;.0;1;00020144549
330.0;69.0;64.0;3.2;15.0;9.0;3.2;2.7;30.0;15.0;2.9;.5;1.0;.0;1.0;.0;0;00020144686
329.0;60.0;64.0;3.0;15.0;9.0;3.0;2.8;35.0;18.0;2.9;.5;1.0;.0;1.0;.0;0;00020145004
303.0;63.0;59.0;.0;.0;.0;.0;3.1;17.0;11.0;3.1;.6;.0;1.0;1.0;.0;0;00020128843
398.0;78.0;83.0;.0;.0;.0;.0;4.3;16.0;16.0;4.3;1.0;1.0;.0;1.0;.0;1;00020134598
341.0;63.0;70.0;.0;.0;.0;.0;4.3;19.0;19.0;4.3;1.0;.0;1.0;1.0;.0;1;00020140088
407.0;78.0;83.0;.0;.0;.0;.0;3.6;16.0;16.0;3.6;1.0;1.0;.0;1.0;.0;1;00020144550
383.0;77.0;86.0;.0;.0;.0;.0;4.0;16.0;16.0;4.0;1.0;1.0;.0;1.0;.0;1;00020147504
332.0;58.0;65.0;.0;.0;.0;.0;3.5;17.0;14.0;3.5;.8;.0;1.0;1.0;.0;1;00020151080
318.0;48.0;62.0;.0;.0;.0;.0;3.8;17.0;17.0;3.8;1.0;1.0;.0;1.0;.0;1;00020152128
313.0;62.0;68.0;.0;.0;.0;.0;3.7;17.0;17.0;3.7;1.0;1.0;.0;1.0;.0;0;00020153555
382.0;64.0;77.0;.0;.0;.0;.0;3.6;16.0;16.0;3.6;1.0;1.0;.0;1.0;.0;1;00020153693
352.0;58.0;70.0;.0;.0;.0;.0;4.3;17.0;17.0;4.3;1.0;1.0;.0;1.0;.0;1;00020153901
