Calif Global;Puntaje Lectura Critica;Puntaje Matemática;Promedio Ciclo lectivo 1;Total Créditos Cursados 1;Total Créditos Aprobados 1;Promedio Ponderado Acumulado 1;Promedio Ciclo lectivo 2;Total Créditos Cursados 2;Total Créditos Aprobados 2;Promedio Ponderado Acumulado 2;tasa_aprobacion;Sexo = M;Sexo = F;Benef. Beca = N;Benef. Beca = Y;Estado Programa Académico 2;ID
341.0;65.0;66.0;3.3;17.0;11.0;3.3;3.3;37.0;22.0;3.3;.6;1.0;.0;1.0;.0;0;00020137327
389.0;75.0;81.0;4.0;20.0;20.0;4.0;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020137700
336.0;61.0;70.0;4.3;17.0;17.0;4.3;4.0;37.0;37.0;4.1;1.0;.0;1.0;1.0;.0;1;00020137801
343.0;67.0;70.0;3.4;17.0;11.0;3.4;3.6;36.0;30.0;3.5;.8;.0;1.0;1.0;.0;1;00020137851
317.0;57.0;69.0;3.9;17.0;14.0;3.9;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020137948
356.0;75.0;74.0;3.8;20.0;17.0;3.8;4.0;40.0;37.0;3.9;.9;1.0;.0;1.0;.0;1;00020138086
329.0;55.0;81.0;3.9;17.0;17.0;3.9;3.6;34.0;34.0;3.7;1.0;1.0;.0;1.0;.0;1;00020138232
361.0;75.0;66.0;4.0;14.0;14.0;4.0;3.8;34.0;34.0;3.9;1.0;.0;1.0;1.0;.0;1;00020138283
345.0;67.0;69.0;3.7;20.0;20.0;3.7;3.4;37.0;37.0;3.6;1.0;.0;1.0;1.0;.0;1;00020138420
328.0;60.0;67.0;3.3;17.0;11.0;3.3;4.0;37.0;31.0;3.7;.8;.0;1.0;1.0;.0;1;00020138518
334.0;65.0;77.0;3.7;17.0;17.0;3.7;3.4;36.0;36.0;3.5;1.0;1.0;.0;1.0;.0;1;00020138778
340.0;61.0;63.0;2.8;17.0;7.0;2.8;.0;.0;.0;.0;.0;1.0;.0;1.0;.0;0;00020138780
318.0;61.0;70.0;3.2;17.0;11.0;3.2;3.3;34.0;25.0;3.3;.7;1.0;.0;1.0;.0;1;00020138829
326.0;60.0;74.0;3.8;17.0;17.0;3.8;3.3;34.0;28.0;3.6;.8;1.0;.0;1.0;.0;1;00020138883
388.0;75.0;81.0;3.7;17.0;17.0;3.7;4.0;36.0;36.0;3.9;1.0;.0;1.0;1.0;.0;1;00020139155
349.0;65.0;64.0;4.3;19.0;19.0;4.3;4.1;38.0;38.0;4.2;1.0;1.0;.0;1.0;.0;1;00020139370
335.0;63.0;74.0;4.3;20.0;20.0;4.3;4.2;40.0;40.0;4.2;1.0;.0;1.0;1.0;.0;1;00020139557
346.0;60.0;74.0;3.1;18.0;10.0;3.1;3.6;34.0;20.0;3.3;.6;1.0;.0;1.0;.0;1;00020140302
324.0;65.0;69.0;3.4;17.0;11.0;3.4;3.6;36.0;30.0;3.5;.8;.0;1.0;1.0;.0;1;00020140413
317.0;67.0;61.0;3.7;19.0;16.0;3.7;3.7;38.0;35.0;3.7;.9;1.0;.0;1.0;.0;1;00020140607
355.0;70.0;67.0;3.7;20.0;17.0;3.7;3.7;40.0;37.0;3.7;.9;1.0;.0;1.0;.0;1;00020140685
342.0;65.0;79.0;4.2;20.0;20.0;4.2;4.1;39.0;39.0;4.1;1.0;.0;1.0;1.0;.0;1;00020140806
394.0;75.0;95.0;3.9;17.0;17.0;3.9;3.8;34.0;34.0;3.9;1.0;1.0;.0;1.0;.0;1;00020140837
349.0;75.0;67.0;3.9;17.0;17.0;3.9;3.9;34.0;34.0;3.9;1.0;.0;1.0;1.0;.0;1;00020140860
313.0;63.0;61.0;3.3;16.0;11.0;3.3;2.5;30.0;16.0;2.9;.5;.0;1.0;1.0;.0;0;00020140937
333.0;75.0;61.0;4.2;19.0;19.0;4.2;4.1;38.0;38.0;4.1;1.0;.0;1.0;1.0;.0;1;00020141149
352.0;78.0;66.0;3.8;20.0;17.0;3.8;3.9;40.0;37.0;3.8;.9;.0;1.0;1.0;.0;1;00020141161
305.0;57.0;64.0;3.7;16.0;16.0;3.7;3.3;32.0;29.0;3.5;.9;1.0;.0;1.0;.0;0;00020141229
